"state","1995","2000","2010","2015","2016","2017","2018"
"Baden-Württemberg","31.4","31.5","32.7","26.1","27.2","27.3","26.1"
"Bayern","33.0","32.6","33.2","27.5","29.2","30.9","29.9"
"Berlin","29.8","33.6","33.6","24.0","24.7","19.8","19.3"
"Brandenburg","27.0","27.9","35.3","34.5","35.8","35.3","35.1"
"Bremen","35.2","31.2","29.4","29.4","31.3","30.8","30.7"
"Hamburg","38.5","31.5","32.0","22.6","23.1","22.8","24.6"
"Hessen","34.7","35.7","35.0","28.6","30.3","29.8","29.4"
"Mecklenburg-Vorpommern","24.1","24.1","30.0","24.9","25.9","28.3","28.0"
"Niedersachsen","33.0","34.0","34.9","28.8","29.3","30.4","26.0"
"Nordrhein-Westfalen","35.4","33.2","32.0","26.6","27.3","26.3","28.8"
"Rheinland-Pfalz","32.4","31.4","35.1","28.2","29.7","29.9","33.0"
"Saarland","36.2","33.5","34.9","31.2","31.6","26.3","28.8"
"Sachsen","22.0","23.0","29.7","25.4","26.2","26.8","26.2"
"Sachsen-Anhalt","31.3","29.1","34.6","28.6","29.5","29.5","30.6"
"Schleswig-Holstein","38.4","34.8","35,9","30.8","31.2","30.9","32.7"
"Thüringen","26.1","27.0","32.0","29.1","30.3","30.2","28.0"
"Deutschland","32.7","31.7","33.3","28.2","28.9","28.3","28.0"